# format: as|source|type
# date: 20200101
# name: as2type
# exe: type-convert-amogh.pl
# files: 20200101.merged.class.txt
# types: Content|Enterprise|Transit/Access
283|CAIDA_class|Transit/Access
286|peerDB_class|Transit/Access
288|CAIDA_class|Enterprise
289|CAIDA_class|Transit/Access
291|CAIDA_class|Transit/Access
292|CAIDA_class|Transit/Access
293|peerDB_class|Transit/Access
295|CAIDA_class|Enterprise
297|CAIDA_class|Transit/Access
299|CAIDA_class|Transit/Access
300|CAIDA_class|Transit/Access
302|CAIDA_class|Transit/Access
306|CAIDA_class|Transit/Access
307|CAIDA_class|Transit/Access
308|CAIDA_class|Transit/Access
309|CAIDA_class|Transit/Access
310|CAIDA_class|Content
311|CAIDA_class|Enterprise
312|CAIDA_class|Enterprise
313|CAIDA_class|Transit/Access
316|CAIDA_class|Transit/Access
317|CAIDA_class|Transit/Access
319|CAIDA_class|Transit/Access
320|CAIDA_class|Transit/Access
321|CAIDA_class|Transit/Access
322|CAIDA_class|Transit/Access
323|CAIDA_class|Transit/Access
324|CAIDA_class|Transit/Access
325|CAIDA_class|Transit/Access
326|CAIDA_class|Transit/Access
327|CAIDA_class|Transit/Access
328|CAIDA_class|Transit/Access
329|manual_class|Enterprise
331|CAIDA_class|Transit/Access
332|CAIDA_class|Transit/Access
334|CAIDA_class|Transit/Access
335|CAIDA_class|Transit/Access
336|CAIDA_class|Transit/Access
337|CAIDA_class|Transit/Access
338|CAIDA_class|Transit/Access
339|CAIDA_class|Transit/Access
340|CAIDA_class|Transit/Access
341|CAIDA_class|Transit/Access
342|CAIDA_class|Transit/Access
343|CAIDA_class|Transit/Access
344|CAIDA_class|Enterprise
345|CAIDA_class|Transit/Access
346|CAIDA_class|Transit/Access
347|CAIDA_class|Transit/Access
348|CAIDA_class|Transit/Access
349|CAIDA_class|Transit/Access
350|CAIDA_class|Transit/Access
351|CAIDA_class|Transit/Access
352|CAIDA_class|Transit/Access
353|CAIDA_class|Transit/Access
355|CAIDA_class|Transit/Access
356|CAIDA_class|Transit/Access
357|CAIDA_class|Transit/Access
358|CAIDA_class|Transit/Access
359|CAIDA_class|Transit/Access
360|CAIDA_class|Transit/Access
361|CAIDA_class|Transit/Access
362|CAIDA_class|Transit/Access
364|CAIDA_class|Transit/Access
365|CAIDA_class|Transit/Access
366|CAIDA_class|Transit/Access
367|CAIDA_class|Transit/Access
368|CAIDA_class|Transit/Access
369|CAIDA_class|Transit/Access
370|CAIDA_class|Transit/Access
371|CAIDA_class|Transit/Access
372|CAIDA_class|Transit/Access
375|manual_class|Enterprise
376|CAIDA_class|Transit/Access
377|CAIDA_class|Enterprise
378|CAIDA_class|Transit/Access
